0.158671E-04 0.218826E+08
0.175358E-04 0.218826E+08
0.193801E-04 0.218826E+08
0.214183E-04 0.218825E+08
0.236709E-04 0.218825E+08
0.261604E-04 0.218824E+08
0.289117E-04 0.218824E+08
0.319524E-04 0.218823E+08
0.353128E-04 0.218822E+08
0.390267E-04 0.218821E+08
0.431312E-04 0.218820E+08
0.476673E-04 0.218818E+08
0.526805E-04 0.218817E+08
0.582210E-04 0.218814E+08
0.643441E-04 0.218811E+08
0.711113E-04 0.218808E+08
0.785901E-04 0.218804E+08
0.868555E-04 0.218798E+08
0.959902E-04 0.218792E+08
0.106086E-03 0.218784E+08
0.117243E-03 0.218775E+08
0.129573E-03 0.218764E+08
0.143201E-03 0.218750E+08
0.158261E-03 0.218733E+08
0.174906E-03 0.218712E+08
0.193300E-03 0.218687E+08
0.213630E-03 0.218656E+08
0.236098E-03 0.218619E+08
0.260928E-03 0.218574E+08
0.288370E-03 0.218520E+08
0.318699E-03 0.218454E+08
0.352216E-03 0.218375E+08
0.389259E-03 0.218280E+08
0.430198E-03 0.218166E+08
0.475443E-03 0.218030E+08
0.525445E-03 0.217868E+08
0.580707E-03 0.217676E+08
0.641780E-03 0.217449E+08
0.709277E-03 0.217184E+08
0.783872E-03 0.216873E+08
0.866313E-03 0.216511E+08
0.957424E-03 0.216092E+08
0.105812E-02 0.215607E+08
0.116940E-02 0.215050E+08
0.129239E-02 0.214410E+08
0.142831E-02 0.213677E+08
0.157852E-02 0.212841E+08
0.174454E-02 0.211891E+08
0.192801E-02 0.210813E+08
0.213079E-02 0.209594E+08
0.235488E-02 0.208221E+08
0.260255E-02 0.206680E+08
0.287626E-02 0.204955E+08
0.317876E-02 0.203031E+08
0.351307E-02 0.200893E+08
0.388254E-02 0.198526E+08
0.429088E-02 0.195913E+08
0.474215E-02 0.193040E+08
0.524089E-02 0.189892E+08
0.579208E-02 0.186455E+08
0.640123E-02 0.182714E+08
0.707446E-02 0.178657E+08
0.781848E-02 0.174270E+08
0.864076E-02 0.169541E+08
0.954952E-02 0.164459E+08
0.105538E-01 0.159012E+08
0.116638E-01 0.153192E+08
0.128905E-01 0.146992E+08
0.142462E-01 0.140408E+08
0.157445E-01 0.133443E+08
0.174004E-01 0.126112E+08
0.192304E-01 0.118443E+08
0.212528E-01 0.110486E+08
0.234880E-01 0.102319E+08
0.259583E-01 0.940553E+07
0.286883E-01 0.858499E+07
0.317055E-01 0.778943E+07
0.350400E-01 0.704057E+07
0.387252E-01 0.635978E+07
0.427980E-01 0.576323E+07
0.472991E-01 0.525564E+07
0.522736E-01 0.482445E+07
0.577712E-01 0.443831E+07
0.638471E-01 0.405465E+07
0.705619E-01 0.363887E+07
0.779830E-01 0.318980E+07
0.861845E-01 0.275271E+07
0.952486E-01 0.239571E+07
0.105266E+00 0.214814E+07
0.116337E+00 0.195507E+07
0.128572E+00 0.172818E+07
0.142094E+00 0.146786E+07
0.157038E+00 0.126713E+07
0.173554E+00 0.113776E+07
0.191807E+00 0.988992E+06
0.211980E+00 0.840189E+06
0.234274E+00 0.741286E+06
0.258913E+00 0.636152E+06
0.286143E+00 0.549006E+06
0.316237E+00 0.473361E+06
0.349495E+00 0.406857E+06
0.386252E+00 0.348782E+06
0.426875E+00 0.299321E+06
0.471770E+00 0.255971E+06
0.521386E+00 0.218676E+06
0.576221E+00 0.186605E+06
0.636822E+00 0.159028E+06
0.703798E+00 0.135358E+06
0.777817E+00 0.115075E+06
0.859620E+00 0.977212E+05
0.950027E+00 0.828971E+05
0.104994E+01 0.702497E+05
0.116037E+01 0.594747E+05
0.128240E+01 0.503056E+05
0.141727E+01 0.425131E+05
0.156633E+01 0.358973E+05
0.173106E+01 0.302871E+05
0.191312E+01 0.255341E+05
0.211432E+01 0.215112E+05
0.233669E+01 0.181092E+05
0.258244E+01 0.152350E+05
0.285404E+01 0.128085E+05
0.315420E+01 0.107618E+05
0.348593E+01 0.903680E+04
0.385255E+01 0.758402E+04
0.425773E+01 0.636131E+04
0.470552E+01 0.533293E+04
0.520040E+01 0.446848E+04
0.574733E+01 0.374230E+04
0.635178E+01 0.313266E+04
0.701980E+01 0.262117E+04
0.775808E+01 0.219225E+04
0.857401E+01 0.183272E+04
0.947575E+01 0.153152E+04
0.104723E+02 0.127932E+04
0.115737E+02 0.106826E+04
0.127909E+02 0.891677E+03
0.141362E+02 0.744014E+03
0.156229E+02 0.620595E+03
0.172659E+02 0.517470E+03
0.190818E+02 0.431344E+03
0.210887E+02 0.359434E+03
0.233066E+02 0.299418E+03
0.257577E+02 0.249346E+03
0.284667E+02 0.207585E+03
0.314606E+02 0.172765E+03
0.347693E+02 0.143743E+03
0.384260E+02 0.119561E+03
0.424673E+02 0.994162E+02
0.469337E+02 0.826411E+02
0.518697E+02 0.686749E+02
